Agent,Class,Dose,Frequency,GuidelineRole,HFrEFClassPoints,HFmrEFClassPoints,HFpEFClassPoints,TargetBonus_HFrEF_HFmrEF_HFpEF,FormularyScoredFlag,TargetDoseFlag,Description,SpecialFeaturePointsAndDescriptions
Sacubitril/Valsartan (Entresto),ARNI,24/26 mg,bid,RAAS,20,22,0,0/0/0,false,false,RAAS pillar,
Sacubitril/Valsartan (Entresto),ARNI,49/51 mg,bid,RAAS,20,22,0,0/0/0,false,false,RAAS pillar,
Sacubitril/Valsartan (Entresto),ARNI,97/103 mg,bid,RAAS,20,22,0,5/5/0,false,true,RAAS pillar,
Lisinopril,ACEi,2.5 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Lisinopril,ACEi,5 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Lisinopril,ACEi,10 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Lisinopril,ACEi,20 mg,qd,RAAS,20,22,0,5/5/0,true,true,RAAS pillar,
Lisinopril,ACEi,40 mg,qd,RAAS,20,22,0,5/5/0,true,true,RAAS pillar,
Losartan,ARB,25 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Losartan,ARB,50 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Losartan,ARB,100 mg,qd,RAAS,20,22,0,0/0/0,true,false,RAAS pillar,
Losartan,ARB,150 mg,qd,RAAS,20,22,0,5/5/0,false,true,RAAS pillar,
Carvedilol,Beta Blocker,3.125 mg,bid,BB,20,13,0,0/0/0,false,false,Beta-blocker pillar,
Carvedilol,Beta Blocker,6.25 mg,bid,BB,20,13,0,0/0/0,true,false,Beta-blocker pillar,
Carvedilol,Beta Blocker,12.5 mg,bid,BB,20,13,0,0/0/0,true,false,Beta-blocker pillar,
Carvedilol,Beta Blocker,25 mg,bid,BB,20,13,0,5/5/0,true,true,Beta-blocker pillar,
Carvedilol,Beta Blocker,50 mg,bid,BB,20,13,0,5/5/0,true,true,Beta-blocker pillar,
